month,city,heating,cooling
1,Baltimore,2139656.572,338340.8301
1,Chicago,2316223.679,211574.0986
1,Los Angeles,564828.2451,574237.188
2,Baltimore,1505423.15,352900.5047
2,Chicago,1676710.418,227438.2034
2,Los Angeles,468784.3947,535572.4221
3,Baltimore,886510.0681,636015.4647
3,Chicago,1339832.54,350002.1366
3,Los Angeles,504231.5564,589651.1905
4,Baltimore,612970.8185,721216.5822
4,Chicago,866215.8223,439425.372
4,Los Angeles,424405.6831,611166.2954
5,Baltimore,426338.4369,883859.949
5,Chicago,542832.7792,713511.9523
5,Los Angeles,386723.1195,678502.5837
6,Baltimore,258500.8978,1109603.991
6,Chicago,381908.2149,856673.7243
6,Los Angeles,321895.4854,698027.8055
7,Baltimore,211174.577,1191334.172
7,Chicago,298075.2197,1029529.83
7,Los Angeles,282648.8853,720130.2165
8,Baltimore,217354.1966,1144130.932
8,Chicago,293039.5976,985944.3059
8,Los Angeles,271424.4603,747116.8689
9,Baltimore,328127.9674,975456.4143
9,Chicago,381539.9634,835533.6343
9,Los Angeles,250372.1698,718737.903
10,Baltimore,605506.9465,746645.9983
10,Chicago,686567.1954,581030.6537
10,Los Angeles,348390.5991,696420.9542
11,Baltimore,1066677.894,530690.1089
11,Chicago,1141133.953,389812.963
11,Los Angeles,419120.6982,632960.5849
12,Baltimore,1820355.991,368226.2639
12,Chicago,1593680.701,299600.3704
12,Los Angeles,517069.1409,590925.7141
